id,user_id,title,business_type,business_description,unique_attributes,target_customers,market_niche,product_service,customer_feedback,website,business_location,primary_customer_type,primary_sales_channel,primary_business_goal,strategy_high_level_boundary,example_sprint_planning_prompt,example_daily_search_query,product_analysis_summary,report_sales_context_guidance,report_sales_targeting_guidance,daily_search_queries,strategic_plan,search_prompts,status,created_at,updated_at,product_offer_strategies,is_default
42,1,asdf,service,asdf,{},Target customers,,asdf,asdf,asdf,,,,,,,,,,,,{},,completed,2026-01-27 06:53:57.448549,2026-01-27 06:53:57.448549,[],f
43,1,asdf,product,asdf,{},Target customers,,asdf,asdf,asdf,,,,,,,,,,,,{},,completed,2026-01-27 22:55:56.894791,2026-01-27 22:55:56.894791,[],f
1,5,ai api for large financial unstructured data extraction like sec filings,product,ai api for large financial unstructured data extraction like sec filings,,ai api for large financial unstructured data extraction like sec filings,,ai api for large financial unstructured data extraction like sec filings,insights,unsiloed.ai,,,,,"Series A fintech companies in major US fintech hubs: Austin, NYC, SF, Chicago, Boston, Atlanta.","exampleSprintPlanningPrompt:  
""Identify Series A fintech companies headquartered in Austin, Texas, with a focus on those innovating in AI-driven financial data extraction and processing solutions for unstructured financial documents such as SEC filings. Segment daily searches by specific fintech subdomains including payments technology, credit-building platforms, insurance fintech, real estate transaction fintech, and AI-powered financial analytics startups. Each daily query should target 7-10 companies founded or funded within the last 3 years, emphasizing those with recent Series A funding rounds and active in Austin’s fintech ecosystem.""",,"{""title"":""Product Analysis Summary"",""content"":""• **What it is**: Unsiloed AI offers an AI-powered API that extracts structured data from large, unstructured financial documents such as SEC filings (10-K, 10-Q, 8-K, S-1) using advanced Vision models and customizable JSON schemas[2][4].\n\n• **Problem it solves**: It addresses the challenge of efficiently extracting precise financial data from complex, varied-format PDFs and filings, which are traditionally time-consuming and error-prone to process manually or with generic OCR tools[3].\n\n• **Competitive advantage**: The API supports custom schema definitions for targeted data extraction, batch processing for scalability, and integrates seamlessly via REST endpoints. It leverages AI trained on financial layouts to preserve data structure and context, outperforming standard extraction tools that lack domain-specific intelligence[2][4]. Additionally, it offers job status polling and error handling for robust workflow integration[4].\n\n• **Customer benefit**: Users gain faster, more accurate access to critical financial data, enabling improved analytics, modeling, and decision-making. The API’s flexibility and automation reduce manual effort and errors, accelerating workflows for analysts, fintech firms, and institutional investors dealing with large volumes of filings[2][3]. This positions Unsiloed AI as a specialized, scalable solution for financial data extraction needs."",""wordCount"":181}","{""title"":""Sales Approach Strategy"",""content"":""**RELATIONSHIP INITIATION APPROACHES:**  \n• **Standard**: Introduce the AI API by highlighting efficiency gains in extracting key financial data from SEC filings, emphasizing time savings for analysts and compliance teams.  \n• **Innovation 1**: Share a brief case study or success story demonstrating how the API accelerated deal research or equity analysis with real-time, accurate insights.  \n• **Innovation 2**: Offer a personalized demo invitation focusing on the prospect’s specific pain points, such as handling large volumes of unstructured financial data.  \n• **Innovation 3**: Use a consultative approach by proposing a joint exploration session to identify hidden risks or trends in their current SEC filings workflow using AI.  \n\n**SUBJECT LINE FORMATS:**  \n• **Standard**: “Streamline SEC Filings Analysis with AI-Powered Data Extraction”  \n• **Innovation 1**: “What if your team could analyze 10-Ks in minutes, not days?”  \n• **Innovation 2**: “Unlock actionable insights from SEC filings — faster and smarter”  \n• **Innovation 3**: “[First Name], see how AI transforms your financial data extraction”  \n\nThis strategic email approach leverages proven efficiency benefits, personalized engagement, and curiosity-driven messaging to connect with financial professionals managing large-scale unstructured SEC data extraction challenges[1][2][3][4]."",""sections"":{""approaches"":""4 relationship initiation methods"",""subjectLines"":""4 subject line formats""}}","{""title"":""90-Day Email Strategy"",""boundary"":""Series A fintech companies in major US fintech hubs: Austin, NYC, SF, Chicago, Boston, Atlanta."",""sprintPrompt"":""exampleSprintPlanningPrompt:  \n\""Identify Series A fintech companies headquartered in Austin, Texas, with a focus on those innovating in AI-driven financial data extraction and processing solutions for unstructured financial documents such as SEC filings. Segment daily searches by specific fintech subdomains including payments technology, credit-building platforms, insurance fintech, real estate transaction fintech, and AI-powered financial analytics startups. Each daily query should target 7-10 companies founded or funded within the last 3 years, emphasizing those with recent Series A funding rounds and active in Austin’s fintech ecosystem.\"""",""dailyQueries"":[""Austin fintech AI SEC filings extraction startups Series A"",""Austin AI fintech payments startups founded last 3 years"",""Austin credit-building fintech Series A recent funding"",""Austin insurance fintech AI unstructured data extraction"",""Austin real estate fintech Series A funding 2023-2025"",""Austin AI-powered financial analytics fintech startups"",""Austin fintech Series A SEC filings data processing"",""Austin fintech startups AI unstructured financial data""],""content"":""## 1. TARGET BOUNDARY\nSeries A fintech companies in major US fintech hubs: Austin, NYC, SF, Chicago, Boston, Atlanta.\n\n## 2. SPRINT PROMPT\nexampleSprintPlanningPrompt:  \n\""Identify Series A fintech companies headquartered in Austin, Texas, with a focus on those innovating in AI-driven financial data extraction and processing solutions for unstructured financial documents such as SEC filings. Segment daily searches by specific fintech subdomains including payments technology, credit-building platforms, insurance fintech, real estate transaction fintech, and AI-powered financial analytics startups. Each daily query should target 7-10 companies founded or funded within the last 3 years, emphasizing those with recent Series A funding rounds and active in Austin’s fintech ecosystem.\""\n\n## 3. DAILY QUERIES\nAustin fintech AI SEC filings extraction startups Series A\nAustin AI fintech payments startups founded last 3 years\nAustin credit-building fintech Series A recent funding\nAustin insurance fintech AI unstructured data extraction\nAustin real estate fintech Series A funding 2023-2025\nAustin AI-powered financial analytics fintech startups\nAustin fintech Series A SEC filings data processing\nAustin fintech startups AI unstructured financial data""}","[""Austin fintech AI SEC filings extraction startups Series A"",""Austin AI fintech payments startups founded last 3 years"",""Austin credit-building fintech Series A recent funding"",""Austin insurance fintech AI unstructured data extraction"",""Austin real estate fintech Series A funding 2023-2025"",""Austin AI-powered financial analytics fintech startups"",""Austin fintech Series A SEC filings data processing"",""Austin fintech startups AI unstructured financial data""]",{},,completed,2025-08-05 03:36:18.851256,2025-08-05 03:36:18.851256,[],f
44,1,asdf,product,asdf,{},Target customers,,asdf,adf,asdf,,,,,,,,,,,,{},,completed,2026-01-27 23:14:58.30093,2026-01-27 23:14:58.30093,[],t
37,1,happy dogs,product,best dogfood,{},General audience,,best dogfood,nutrious,"",,,,,,,,,,,,{},,completed,2025-11-04 05:46:08.021472,2025-11-04 05:46:08.021472,[],f
41,1,asdf,both,asdf,{},Target customers,,asdf,asdf,sdf,,,,,,,,,,,,{},,completed,2026-01-27 04:51:31.224849,2026-01-27 04:51:31.224849,[],f
24,1,AI-powered email automation tool that helps sales ,product,AI-powered email automation tool that helps sales teams close more deals,"{""Customers love how it saves them time""}",B2B customers,,AI-powered email automation tool that helps sales teams close more deals,Customers love how it saves them time,https://www.example.com,,,,,,,,,,,,{},,completed,2025-09-12 15:53:58.532042,2025-09-12 15:53:58.532042,[],f
26,1,dog walking,product,dog walking,"{""dog walking""}",B2B customers,,dog walking,dog walking,dog.com,,,,,,,,,,,,{},,completed,2025-09-12 18:09:33.695818,2025-09-12 18:09:33.695818,[],f
31,1,doghouse,service,doghouse,{strong},B2B customers,,doghouse,strong,doghouse.com,,,,,,,,,,,,{},,completed,2025-09-24 21:50:59.217575,2025-09-24 21:50:59.217575,[],f
30,22,firefox,product,firefox,{firefox},B2B customers,,firefox,firefox,firefox.com,,,,,,,,,,,,{},,completed,2025-09-15 03:36:51.239052,2025-09-15 03:36:51.239052,[],f
38,50,Video Commercial Production,product,Video Commercial Production,{},General audience,,Video Commercial Production,"","",,,,,,,,,,,,{},,completed,2025-11-26 00:15:23.994706,2025-11-26 00:15:23.994706,[],t
39,50,"Rich Media Play produces high-impact video, animat",product,"Rich Media Play produces high-impact video, animation, and data-driven storytelling for organizations that need polished, strategic content without agency overhead.","{""We save them time and resources, make it easy and effortless on our clients, we are resourceful and have an incredible creative team. ""}",B2B customers,,"Rich Media Play produces high-impact video, animation, and data-driven storytelling for organizations that need polished, strategic content without agency overhead.","We save them time and resources, make it easy and effortless on our clients, we are resourceful and have an incredible creative team. ",https://www.rmp-nyc.com/,,,,,,,,,,,,{},,completed,2025-12-05 22:07:18.148785,2025-12-05 22:07:18.148785,[],f
40,74,`asd,product,`asd,{asd},B2B customers,,`asd,asd,"",,,,,,,,,,,,{},,completed,2025-12-16 21:12:57.204097,2025-12-16 21:12:57.204097,[],f
