id,user_id,contact_id,company_id,channel,direction,subject,content,content_preview,status,thread_id,parent_id,in_reply_to,references,scheduled_for,sent_at,delivered_at,opened_at,replied_at,campaign_id,batch_id,template_id,metadata,open_count,click_count,clicked_links,error_code,error_message,retry_count,created_at,updated_at
4,5,428,62,email,outbound,Helping {{company_name}} Strengthen Fraud Protection with Car,"Hi there {{first_name}},

I hope this message finds you well! I wanted to introduce you to Car, a solution designed to complement Abrigo’s powerful fraud management software by enhancing your team’s ability to detect and prevent fraud even more efficiently.

Given Abrigo’s expertise in AI-powered fraud detection and real-time orchestration, Car can seamlessly integrate to provide additional layers of data insight and automation that help reduce manual reviews and accelerate decision-making. This means your analysts can focus on the highest-risk cases with confidence, improving both accuracy and speed in stopping fraud before it impacts your institution or customers.

I’d love to explore how Car can support Abrigo’s mission to protect financial institutions like yours from increasingly sophisticated fraud threats while maintaining a smooth customer experience.

Looking forward to connecting soon!

Best regards,  

{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I wanted to introduce you to Car, a solution designed to complement Abrigo’s powerful fraud management software by enhancing your team’s a",sent,,,,,,2025-09-10 18:52:49.835+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 12, ""source"": ""daily_outreach"", ""batchId"": 7, ""sourceTable"": ""daily_outreach_backfill""}",0,0,[],,,0,2025-09-10 18:52:49.835+00,2025-09-11 03:05:56.54522+00
5,5,451,59,email,outbound,Helping Rocket Dollar Expand Alternative Investment Opportunities,"Hi there {{first_name}},

I hope this message finds you well! I’m reaching out to introduce Car, a solution designed to complement Rocket Dollar’s mission of empowering investors with self-directed retirement accounts.

Car can help Rocket Dollar streamline and enhance how your users invest in alternative assets like real estate and startups by providing seamless integration, improved asset management tools, and increased operational efficiency. This means your clients can enjoy an even smoother, faster, and more secure experience while diversifying their retirement portfolios.

I’d love to explore how Car can support Rocket Dollar’s growth and help you continue shaking up the retirement investing space with innovative solutions.

Looking forward to connecting soon!

Best regards,  

{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I’m reaching out to introduce Car, a solution designed to complement Rocket Dollar’s mission of empowering investors with self-directed re",sent,,,,,,2025-09-10 18:56:37.329+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 11, ""source"": ""daily_outreach"", ""batchId"": 7, ""sourceTable"": ""daily_outreach_backfill""}",0,0,[],,,0,2025-09-10 18:56:37.329+00,2025-09-11 03:05:56.54522+00
6,5,388,55,email,outbound,Helping {{company_name}} Grow with Petal’s Credit Solutions,"Hi there {{first_name}},

I hope this message finds you well! I wanted to introduce you to Petal, a credit card company that’s truly changing the game by offering credit access to individuals without traditional credit histories—something that could be a great fit for {{company_name}}’s mission and growth.

Petal uses cash flow underwriting to provide responsible credit options, helping people build credit securely while avoiding fees like annual or late charges. With features like automatic credit reporting to major bureaus, fraud protection, and cash back rewards, Petal empowers users to improve their financial health and make smarter spending decisions. This approach not only supports your customers but also aligns with your goal of expanding credit access in a fair and innovative way.

I’d love to explore how Petal’s solutions can complement {{company_name}}’s operations and help you reach even more people who need credit opportunities.

Looking forward to hearing your thoughts, Ronald!

Take care,  
Jonathan Novotny  

Warmly,  
{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I wanted to introduce you to Petal, a credit card company that’s truly changing the game by offering credit access to individuals without ",sent,,,,,,2025-09-10 19:23:17.378+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 13, ""source"": ""daily_outreach"", ""batchId"": 7, ""sourceTable"": ""daily_outreach_backfill""}",0,0,[],,,0,2025-09-10 19:23:17.378+00,2025-09-11 03:05:56.54522+00
7,5,437,60,email,outbound,"Ben, how Car can boost Aquilan’s compliance and risk management","Hi there {{first_name}},

I hope this message finds you well! I’m Jonathan, and I wanted to introduce you to Car — a solution designed to help companies like Aquilan enhance their compliance, risk, and fraud management capabilities.

Given Aquilan’s impressive work supporting financial institutions and fintechs, Car can complement your software by streamlining data integration and automating key compliance workflows. This means your team can reduce manual effort, improve accuracy, and respond faster to emerging risks — all critical in today’s fast-paced regulatory environment.

I’d love to share how Car can specifically support Aquilan’s goals and explore if there’s a fit. Would you be open to a brief call next week?

Looking forward to connecting, {{contact_name}}.

Take care,  
Jonathan Novotny","Hi there {{first_name}},

I hope this message finds you well! I’m Jonathan, and I wanted to introduce you to Car — a solution designed to help companies like Aquilan enhance their compliance, risk, an",sent,,,,,,2025-09-10 19:29:40.502+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 14, ""source"": ""daily_outreach"", ""batchId"": 7, ""sourceTable"": ""daily_outreach_backfill""}",0,0,[],,,0,2025-09-10 19:29:40.502+00,2025-09-11 03:05:56.54522+00
9,5,471,64,email,outbound,Helping Houston Fintech Accelerate Capital Access for Real Estate Investors,"Hi there {{first_name}},

I hope this message finds you well! I’m Jonathan, and I wanted to introduce you to Car, a solution designed to complement Houston Fintech’s mission of fast, simple, and tech-driven capital access for real estate investors.

Car can help streamline your deal evaluation and lender matchmaking processes even further by automating key workflows and providing real-time analytics tailored to short-term financing and rental property loans. This means your team can close deals faster, reduce manual effort, and enhance the borrower experience — all while maintaining the high standards Houston Fintech is known for.

Given your focus on innovative financial technology and serving investors with flexible, rapid funding options, I believe Car could be a valuable asset to your operations and growth.

Would you be open to a brief conversation to explore how Car might support Houston Fintech’s goals?

Looking forward to hearing from you, {{first_name}}.

Best regards,  

{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I’m Jonathan, and I wanted to introduce you to Car, a solution designed to complement Houston Fintech’s mission of fast, simple, and tech-",sent,,,,,,2025-09-11 03:23:01.095+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 16, ""source"": ""daily_outreach"", ""batchId"": 8}",0,0,[],,,0,2025-09-11 03:23:01.110869+00,2025-09-11 03:23:01.110869+00
10,5,457,63,email,outbound,Helping FinTron Elevate Embedded Wealth Tech with Car,"Hi there {{first_name}},

I hope this message finds you well! I’m reaching out to introduce **Car**, a solution designed to seamlessly enhance embedded wealth technology platforms like FinTron’s.

Given FinTron’s impressive track record in delivering customizable SDKs and white-label investment experiences, Car can help streamline your integration process even further by boosting operational efficiency and enriching user engagement. Our technology complements your existing offerings by simplifying complex workflows and enabling faster deployment of self-directed and managed investing features—helping you stay ahead in the competitive fintech space.

I’d love to explore how Car can support FinTron’s mission to empower investors and advisors with elegant, turnkey investment experiences.

Looking forward to connecting soon!

Best regards,  

{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I’m reaching out to introduce **Car**, a solution designed to seamlessly enhance embedded wealth technology platforms like FinTron’s.

Giv",sent,,,,,,2025-09-11 03:23:15.69+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 18, ""source"": ""daily_outreach"", ""batchId"": 8}",0,0,[],,,0,2025-09-11 03:23:15.704679+00,2025-09-11 03:23:15.704679+00
11,5,128,19,email,outbound,"{{first_name}}, a smart way to enhance Betterment’s investment platform","Hi there {{first_name}},

I hope this message finds you well! I’m Jonathan Novotny, and I wanted to introduce you to Car—a solution designed to seamlessly support innovative companies like Betterment.

Given Betterment’s leadership in online investment and robo-advisory services, Car can help streamline your client experience by enhancing automation and data insights, ultimately supporting smarter investment decisions and improving customer satisfaction.

I’d love to share how Car can complement your platform and contribute to Betterment’s continued growth. Would you be open to a brief chat sometime soon?

Looking forward to connecting!

Warmly,  
{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I’m Jonathan Novotny, and I wanted to introduce you to Car—a solution designed to seamlessly support innovative companies like Betterment.",sent,,,,,,2025-09-11 03:23:57.146+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 20, ""source"": ""daily_outreach"", ""batchId"": 8}",0,0,[],,,0,2025-09-11 03:23:57.161074+00,2025-09-11 03:23:57.161074+00
12,5,79,9,email,outbound,"Alexis, a new way to support Forward Financing’s growth","Hi there, {{first_name}}!

I hope this message finds you well. I’m Jonathan Novotny, and I wanted to introduce you to Car, a solution designed to help fast-growing fintech companies like Forward Financing streamline operations and better serve under-served small businesses.

Given Forward Financing’s impressive growth and commitment to alternative financing, Car can help by simplifying your client onboarding process, improving data accuracy, and accelerating loan approvals—all tailored to meet the unique needs of your industry.

I’d love to share how Car can support your team’s goals and explore ways we might collaborate. Would you be open to a brief call next week?

Looking forward to hearing from you!

Warmly,  
{{sender_name}}","Hi there, {{first_name}}!

I hope this message finds you well. I’m Jonathan Novotny, and I wanted to introduce you to Car, a solution designed to help fast-growing fintech companies like Forward Finan",sent,,,,,,2025-09-11 03:24:19.05+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 17, ""source"": ""daily_outreach"", ""batchId"": 8}",0,0,[],,,0,2025-09-11 03:24:19.064637+00,2025-09-11 03:24:19.064637+00
13,5,501,66,email,outbound,Helping Prosperity Bancshares Drive Growth with Car Solutions,"Hi there {{first_name}},

I hope this message finds you well! I’m reaching out to introduce Car, a solution designed to streamline and enhance business operations, which I believe could be a great fit for {{company_name}}’s innovative approach to banking and treasury management.

Given Prosperity Bancshares’ strong commitment to integrating fintech innovations and supporting small to medium-sized businesses across Texas and Oklahoma, Car can help by simplifying your clients’ financial workflows, improving efficiency, and providing seamless digital experiences that align perfectly with your community banking philosophy.

I’d love to explore how Car can support your team’s goals and contribute to {{company_name}}’s continued success in delivering exceptional banking solutions.

Looking forward to the opportunity to connect!

Best regards,  

{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well! I’m reaching out to introduce Car, a solution designed to streamline and enhance business operations, which I believe could be a great fit",sent,,,,,,2025-09-11 03:24:40.761+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 19, ""source"": ""daily_outreach"", ""batchId"": 8}",0,0,[],,,0,2025-09-11 03:24:40.775595+00,2025-09-11 03:24:40.775595+00
14,1,853,155,email,outbound,Helping Glenmede Drive Efficiency and Client Excellence with Our Car Solutions,"Hi there {{first_name}},

I hope this message finds you well and thriving at Glenmede. I wanted to introduce you to a car solution that could seamlessly support your team’s busy schedules and enhance the personalized service Glenmede is known for.

Our vehicles are designed with comfort, reliability, and efficiency in mind—perfect for executives and advisors who need to move swiftly between client meetings, offices, and events. By integrating our car into your daily operations, Glenmede can further elevate the client experience through timely, stress-free transportation, allowing your team to focus fully on delivering those tailored financial strategies your clients value so deeply.

I’d love to explore how we can partner to support Glenmede’s commitment to excellence and client-centric service. Please let me know a convenient time for you, {{first_name}}, and I’ll be happy to share more details.

Take care,  

{{sender_name}}","Hi there {{first_name}},

I hope this message finds you well and thriving at Glenmede. I wanted to introduce you to a car solution that could seamlessly support your team’s busy schedules and enhance ",sent,,,,,,2025-09-11 19:52:34.3+00,,,,,,,"{""tone"": ""professional"", ""itemId"": 22, ""source"": ""daily_outreach"", ""batchId"": 9}",0,0,[],,,0,2025-09-11 19:52:34.315163+00,2025-09-11 19:52:34.315163+00
