id,user_id,name,status,sender_profile_id,strategic_profile_id,target_customer_profile_id,start_date,end_date,duration_days,daily_lead_target,total_leads_generated,response_rate,created_at,updated_at,contact_list_id,subject,body,prompt,tone,offer_type,product_id,send_time_preference,schedule_date,schedule_time,timezone,autopilot_enabled,autopilot_settings,max_emails_per_day,delay_between_emails,track_emails,unsubscribe_link,requires_human_review,email_template_id,generation_type
3,1,asdf,scheduled,,,,2025-10-29 17:50:43.289134+00,2025-11-05 17:50:43.289134+00,14,5,0,0,2025-10-29 17:48:36.63474+00,2025-10-29 17:48:36.63474+00,16,asdf,asdfsdaffasd,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
4,1,asdfasdfs ,scheduled,,,,2025-10-29 18:35:07.536+00,2025-11-05 18:35:07.536+00,14,5,0,0,2025-10-29 18:35:07.55407+00,2025-10-29 18:35:07.55407+00,17,asdfasdfs ,sadf sdaf sa asasdf ,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
5,1,tryout5,scheduled,,,,2025-10-29 18:36:00.818+00,2025-11-05 18:36:00.818+00,14,5,0,0,2025-10-29 18:36:00.833532+00,2025-10-29 18:36:00.833532+00,18,tryout5, asdf sadsa df sa asd,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
6,1,asdf adsfasdf sa df,scheduled,,,,2025-10-29 18:38:11.028+00,2025-11-05 18:38:11.028+00,14,5,0,0,2025-10-29 18:38:11.04344+00,2025-10-29 18:38:11.04344+00,19,asdf adsfasdf sa df,as dfsad fsa as f,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
7,1,asdfsdfa sadf asd saf,scheduled,,,,2025-10-29 18:58:11.104+00,2025-11-05 18:58:11.104+00,14,5,0,0,2025-10-29 18:58:11.123857+00,2025-10-29 18:58:11.123857+00,20,asdfsdfa sadf asd saf,as dfsadfsdaf as df,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
8,1,asdf fas dfasdf,scheduled,,,,2025-10-29 19:00:17.233+00,2025-11-05 19:00:17.233+00,14,5,0,0,2025-10-29 19:00:17.248766+00,2025-10-29 19:00:17.248766+00,21,asdf fas dfasdf,as dfas f f,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
32,1,asdf,scheduled,,,,2025-11-02 17:53:28.812+00,2025-11-16 17:53:28.812+00,14,5,0,0,2025-11-02 17:53:28.83172+00,2025-11-02 17:53:28.83172+00,43,asdf,asdf,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
33,1,asdf,scheduled,,,,2025-11-02 17:58:09.719+00,2025-11-16 17:58:09.719+00,14,5,0,0,2025-11-02 17:58:09.738696+00,2025-11-02 17:58:09.738696+00,44,asdf,asdf,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
34,1,asdf,scheduled,,,,2025-11-02 17:59:07.337+00,2025-11-16 17:59:07.337+00,14,5,0,0,2025-11-02 17:59:07.353281+00,2025-11-02 17:59:07.353281+00,34,asdf,sadf,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
35,1,asdf333,scheduled,,,,2025-11-02 18:09:51.149+00,2025-11-16 18:09:51.149+00,14,5,0,0,2025-11-02 18:09:51.165975+00,2025-11-02 18:09:51.165975+00,34,asdf333,asdf,"",default,none,,scheduled,,,America/New_York,f,,20,30,t,f,t,,merge_field
